STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
40,57,Oklahoma,Harmon County,Harmon County,2664,-99.84627771,34.74411826
29,39,Missouri,Cedar County,Cedar County,14165,-93.8566135,37.72385153
13,59,Georgia,Clarke County,Clarke County,127330,-83.367332,33.95116831
16,85,Idaho,Valley County,Valley County,11041,-115.5662804,44.76663785
48,275,Texas,Knox County,Knox County,3653,-99.74142705,33.60612914
5,103,Arkansas,Ouachita County,Ouachita County,23606,-92.88193435,33.59335504
39,37,Ohio,Darke County,Darke County,51323,-84.61931914,40.13322396
40,71,Oklahoma,Kay County,Kay County,44161,-97.14392284,36.8180064
46,41,South Dakota,Dewey County,Dewey County,5904,-100.8718639,45.1566157
41,57,Oregon,Tillamook County,Tillamook County,26787,-123.7586647,45.4566725
13,77,Georgia,Coweta County,Coweta County,145864,-84.76336074,33.35346167
28,127,Mississippi,Simpson County,Simpson County,26758,-89.9194881,31.91317196
28,131,Mississippi,Stone County,Stone County,18717,-89.1177102,30.78995165
6,13,California,Contra Costa County,Contra Costa County,1150215,-121.9510732,37.92338055
47,17,Tennessee,Carroll County,Carroll County,28020,-88.45026075,35.97317842
51,87,Virginia,Henrico County,Henrico County,329261,-77.40584477,37.53800735
18,119,Indiana,Owen County,Owen County,20845,-86.83765435,39.31281005
36,119,New York,Westchester County,Westchester County,967612,-73.75339096,41.15148039
29,17,Missouri,Bollinger County,Bollinger County,12169,-90.02594721,37.32219073
54,47,West Virginia,McDowell County,McDowell County,18223,-81.65358379,37.37850132
54,33,West Virginia,Harrison County,Harrison County,67554,-80.37987499,39.28352969
37,77,North Carolina,Granville County,Granville County,60115,-78.65271953,36.30406976
9,9,Connecticut,New Haven County,New Haven County,857620,-72.89985997,41.34882294
31,139,Nebraska,Pierce County,Pierce County,7142,-97.60129052,42.26437462
13,23,Georgia,Bleckley County,Bleckley County,12838,-83.32783883,32.43444145
13,33,Georgia,Burke County,Burke County,22423,-82.00078115,33.0611535
17,181,Illinois,Union County,Union County,16841,-89.25508784,37.47122821
17,91,Illinois,Kankakee County,Kankakee County,110024,-87.86180453,41.13770561
38,51,North Dakota,McIntosh County,McIntosh County,2585,-99.44120433,46.11179369
31,141,Nebraska,Platte County,Platte County,33363,-97.521157,41.57128677
37,185,North Carolina,Warren County,Warren County,19807,-78.10671713,36.39651028
72,9,NA,NA,Aibonito Municipio,NA,-66.26438045,18.13113227
13,197,Georgia,Marion County,Marion County,8351,-84.52463789,32.35337818
46,27,South Dakota,Clay County,Clay County,14041,-96.97563762,42.9145713
10,5,Delaware,Sussex County,Sussex County,229286,-75.33954165,38.68329718
13,159,Georgia,Jasper County,Jasper County,14040,-83.68808959,33.31643358
29,175,Missouri,Randolph County,Randolph County,24763,-92.49707798,39.44016798
20,15,Kansas,Butler County,Butler County,66765,-96.83906546,37.78127075
48,209,Texas,Hays County,Hays County,222631,-98.03106327,30.05815058
48,325,Texas,Medina County,Medina County,50921,-99.11013102,29.35569605
26,105,Michigan,Mason County,Mason County,29100,-86.54509227,43.99606769
45,13,South Carolina,Beaufort County,Beaufort County,188715,-80.69221002,32.35704615
46,135,South Dakota,Yankton County,Yankton County,22869,-97.39476512,43.00896575
55,105,Wisconsin,Rock County,Rock County,163129,-89.07156641,42.67122437
45,77,South Carolina,Pickens County,Pickens County,124937,-82.72531646,34.88751606
53,13,Washington,Columbia County,Columbia County,4059,-117.9078422,46.29749828
18,23,Indiana,Clinton County,Clinton County,32250,-86.47515954,40.3016906
17,27,Illinois,Clinton County,Clinton County,37639,-89.42248489,38.60645188
16,67,Idaho,Minidoka County,Minidoka County,20825,-113.6374638,42.85425995
42,113,Pennsylvania,Sullivan County,Sullivan County,6071,-76.51214129,41.44615912
28,121,Mississippi,Rankin County,Rankin County,153902,-89.94579807,32.26412436
48,345,Texas,Motley County,Motley County,1234,-100.779829,34.07409478
41,39,Oregon,Lane County,Lane County,379611,-122.8762151,43.94169255
48,485,Texas,Wichita County,Wichita County,132064,-98.70361471,33.98798
