state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,encounters_rate_norm,daily_encounter_diff,AverageDiff
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/6/2020,2,POST,D,2,-0.439150846,C,3,-0.543504469,F,1,-0.561820359,-0.418016162,-1.418016162,-0.800223826
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/7/2020,3,POST,D,2,-0.491084165,C,3,-0.544976261,F,1,-0.623345984,-0.463793616,-1.463793616,-0.833284681
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/8/2020,4,POST,D,2,-0.489595331,C,3,-0.52147529,F,1,-0.542776713,-0.40384695,-1.40384695,-0.804972524
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/9/2020,5,POST,D+,2.3,-0.478724015,C,3,-0.59115925,D,2,-0.537385896,-0.399835973,-1.399835973,-0.823239746
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/10/2020,6,POST,D,2,-0.45408317,C,3,-0.575318973,D,2,-0.330659796,-0.246023728,-1.246023728,-0.75847529
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/11/2020,7,POST,D-,1.7,-0.509496365,C,3,-0.544978322,F,1,-0.213819705,-0.159090163,-1.159090163,-0.73785495
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/12/2020,1,POST,B,4,-0.572440196,B,4,-0.731065764,A,5,-0.759405508,-0.565027185,-1.565027185,-0.956177715
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/13/2020,2,POST,D+,2.3,-0.49078954,C,3,-0.569070879,D,2,-0.664538854,-0.494442711,-1.494442711,-0.851434377
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/14/2020,3,POST,D-,1.7,-0.387733699,D,2,-0.497369434,F,1,-0.572660588,-0.426081713,-1.426081713,-0.770394949
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/15/2020,4,POST,D-,1.7,-0.378203366,D,2,-0.491287696,F,1,-0.474278184,-0.352881384,-1.352881384,-0.740790815
