state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-09,7,POST,F,1.3,-0.24550737,F,1,-0.550784181,D,2,0.384858396,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-10,1,POST,F,1,-0.209196698,F,1,-0.508032492,F,1,-0.216054947,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-11,2,POST,F,1.3,-0.223471857,F,1,-0.557062757,D,2,-0.160307743,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-12,3,POST,F,1.3,-0.261970745,D,2,-0.522760658,F,1,-0.261646078,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-13,4,POST,F,1.3,-0.206588553,F,1,-0.568508101,D,2,-0.315688247,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-14,5,POST,F,1,-0.213566373,F,1,-0.544980196,F,1,-0.073869924,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-15,6,POST,F,1,-0.172324402,F,1,-0.499772534,F,1,0.221323381,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-16,7,POST,F,1,-0.097913756,F,1,-0.53094447,F,1,0.203605852,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-17,1,POST,F,1,-0.178469601,F,1,-0.504704157,F,1,-0.224876645,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-18,2,POST,F,1,-0.236325991,F,1,-0.512365583,F,1,-0.211310504,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-19,3,POST,F,1,-0.166296953,F,1,-0.422505872,F,1,-0.021532789,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-20,4,POST,F,1,-0.201015531,F,1,-0.504572944,F,1,-0.107229288,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-21,5,POST,F,1,-0.108453502,F,1,-0.422996536,F,1,0.019684558,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-22,6,POST,F,1,-0.226604423,F,1,-0.468345403,F,1,0.342603202,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-23,7,POST,F,1,-0.12545269,F,1,-0.426601408,F,1,0.36106205,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-24,1,POST,F,1,-0.182730545,F,1,-0.443113476,F,1,-0.070015065,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-25,2,POST,F,1,-0.187899162,F,1,-0.444827422,F,1,-0.175356523,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-26,3,POST,F,1,-0.157106084,F,1,-0.425194825,F,1,-0.060526179,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-27,4,POST,F,1,-0.050643585,F,1,-0.350383752,F,1,0.030878478,F,1
